ID,Category,Subcategory,Keywords,Context,Response,FollowUp,Emotion,ScoreWeight,CombineFlag
1171,Intro,Intro,"""hi, hola, greetings, hiya""",None,"""hi is something I like to explore. How about you?""","""Does it happen often?""",relaxed,0.66,No
1172,Humor,Humor,"""quirky, joke, pun, haha""",None,"""haha, joke? That’s an interesting topic! Let's discuss.""","""Do you enjoy this a lot?""",friendly,0.76,No
1173,Humor,Humor,"""sarcastic, memes, prank, humor""",None,"""Do you enjoy sarcastic? I find it quite interesting.""","""Do you enjoy this a lot?""",relaxed,0.54,No
1174,Feelings,Feelings,"""bored, stressed, happy, amused""",None,"""Do you enjoy stressed? I find it quite interesting.""","""How does that make you feel right now?""",curious,0.53,Yes
1175,Goodbyes,Goodbyes,"""peace, later, cheerio, take care""",None,"""cheerio always fascinates me. How do you feel about it?""","""How does that make you feel right now?""",witty,0.8,Yes
1176,ChitChat,ChitChat,"""shopping, weather, games, gardening""",None,"""weather, shopping always fascinates me. How do you feel about it?""","""What else comes to mind?""",empathetic,0.81,Yes
1177,Intro,Intro,"""hiya, greetings, hi, what’s up""",None,"""Do you enjoy hiya, hi? I find it quite interesting.""","""Can you describe it more vividly?""",enthusiastic,0.9,No
1178,ChitChat,ChitChat,"""nature, fitness, shopping, gardening""",None,"""Do you enjoy nature, shopping, gardening? I find it quite interesting.""","""How long has this been on your mind?""",friendly,0.71,No
1179,Thoughts,Thoughts,"""languages, tech, philosophy, cooking""",None,"""I've been thinking a lot about philosophy, tech, languages. What are your thoughts?""","""Would you like some tips?""",calm,0.58,Yes
1180,Humor,Humor,"""quirky, humor, laugh, sarcastic""",None,"""I feel humor, laugh, quirky is really intriguing. What’s your opinion?""","""Do you enjoy this a lot?""",curious,0.64,No
1181,Goodbyes,Goodbyes,"""farewell, see you, night, later""",None,"""What do you think about night, later? It's been on my mind.""","""What’s the story behind it?""",cheerful,0.99,No
1182,Humor,Humor,"""joke, humor, funny, pun""",None,"""I'm curious about funny, humor, joke. Care to share your experience?""","""How does that make you feel right now?""",funny,0.77,No
1183,Feelings,Feelings,"""stressed, surprised, frustrated, joyful""",None,"""joyful, stressed always fascinates me. How do you feel about it?""","""Can you elaborate on that?""",thoughtful,0.96,Yes
1184,Thoughts,Thoughts,"""movies, environment, politics, innovation""",None,"""I've been thinking a lot about movies, politics, innovation. What are your thoughts?""","""Does it remind you of anything?""",funny,0.8,No
1185,Thoughts,Thoughts,"""cooking, innovation, music, science""",None,"""What do you think about cooking, innovation, music? It's been on my mind.""","""How does that make you feel right now?""",witty,0.67,No
1186,Humor,Humor,"""humor, haha, sarcastic, laugh""",None,"""I feel laugh, sarcastic, haha is really intriguing. What’s your opinion?""","""Would you like some tips?""",enthusiastic,0.69,No
1187,ChitChat,ChitChat,"""festival, food, fitness, culture""",None,"""What do you think about fitness? It's been on my mind.""","""Have you tried something similar before?""",chill,0.63,No
1188,Humor,Humor,"""lol, pun, funny, silly""",None,"""Do you enjoy pun? I find it quite interesting.""","""Can you describe it more vividly?""",curious,0.52,No
1189,Intro,Intro,"""hiya, hey, hi, bonjour""",None,"""hi? That’s an interesting topic! Let's discuss.""","""Is there a reason it makes you happy?""",friendly,0.75,Yes
1190,Feelings,Feelings,"""excited, curious, happy, sad""",None,"""sad, happy is something I like to explore. How about you?""","""Can you elaborate on that?""",helpful,0.7,No
1191,ChitChat,ChitChat,"""coffee, city, music, nature""",None,"""What do you think about city, nature? It's been on my mind.""","""Do you often feel this way?""",cheerful,0.6,Yes
1192,Feelings,Feelings,"""angry, hopeful, grateful, surprised""",None,"""I'm curious about grateful, hopeful, angry. Care to share your experience?""","""How does that make you feel right now?""",curious,0.94,No
1193,Thoughts,Thoughts,"""space, politics, fashion, innovation""",None,"""fashion, innovation? That’s an interesting topic! Let's discuss.""","""Do you often feel this way?""",witty,0.73,No
1194,Feelings,Feelings,"""surprised, nervous, hopeful, stressed""",None,"""I'm curious about surprised. Care to share your experience?""","""Would you like some tips?""",helpful,0.59,Yes
1195,Humor,Humor,"""joke, silly, memes, giggle""",None,"""Do you enjoy joke, silly, giggle? I find it quite interesting.""","""What’s the story behind it?""",witty,0.94,Yes
1196,ChitChat,ChitChat,"""movies, pets, mountains, books""",None,"""Do you enjoy mountains, books? I find it quite interesting.""","""Is there a reason it makes you happy?""",enthusiastic,0.52,Yes
1197,Humor,Humor,"""giggle, haha, laugh, sarcastic""",None,"""giggle can be so engaging! Do you like it as well?""","""Do you enjoy this a lot?""",relaxed,0.91,No
1198,Feelings,Feelings,"""tired, nervous, grateful, anxious""",None,"""Recently, anxious, grateful, nervous caught my attention. Have you noticed that too?""","""Do you want some advice?""",cheerful,0.93,No
1199,ChitChat,ChitChat,"""drink, games, festival, food""",None,"""drink, food can be so engaging! Do you like it as well?""","""Do you want some advice?""",optimistic,0.85,No
1200,Thoughts,Thoughts,"""psychology, tech, politics, languages""",None,"""I've been thinking a lot about politics, languages. What are your thoughts?""","""Can you elaborate on that?""",inquisitive,0.66,Yes
1201,Thoughts,Thoughts,"""cooking, art, gaming, movies""",None,"""I feel cooking, gaming is really intriguing. What’s your opinion?""","""Do you enjoy this a lot?""",thoughtful,0.68,No
1202,ChitChat,ChitChat,"""nature, drink, city, coffee""",None,"""city can be so engaging! Do you like it as well?""","""Do you enjoy this a lot?""",cheerful,0.86,No
1203,Humor,Humor,"""funny, quirky, laugh, joke""",None,"""Do you enjoy quirky, laugh, funny? I find it quite interesting.""","""Can you elaborate on that?""",cheerful,0.52,Yes
1204,ChitChat,ChitChat,"""sports, culture, food, nature""",None,"""nature can be so engaging! Do you like it as well?""","""Is there a reason it makes you happy?""",supportive,0.92,Yes
1205,Feelings,Feelings,"""amused, relaxed, angry, joyful""",None,"""Do you enjoy angry, amused? I find it quite interesting.""","""What else comes to mind?""",inquisitive,0.95,No
1206,Intro,Intro,"""hola, sup, what’s up, yo""",None,"""I'm curious about sup, what’s up, yo. Care to share your experience?""","""Have you tried something similar before?""",empathetic,0.54,Yes
1207,Goodbyes,Goodbyes,"""cheerio, peace, catch you, bye""",None,"""peace, bye can be so engaging! Do you like it as well?""","""Do you want some advice?""",excited,0.76,Yes
1208,ChitChat,ChitChat,"""pets, books, games, city""",None,"""I'm curious about books. Care to share your experience?""","""How does that make you feel right now?""",enthusiastic,0.85,No
1209,Intro,Intro,"""bonjour, what’s up, howdy, hello""",None,"""what’s up, hello, bonjour always fascinates me. How do you feel about it?""","""How long has this been on your mind?""",witty,0.8,Yes
1210,Feelings,Feelings,"""amused, tired, jealous, bored""",None,"""I've been thinking a lot about jealous, amused, tired. What are your thoughts?""","""What else comes to mind?""",curious,0.71,No
1211,ChitChat,ChitChat,"""food, travel, games, festival""",None,"""What do you think about food? It's been on my mind.""","""Would you like to continue discussing this?""",cheerful,0.83,Yes
1212,Goodbyes,Goodbyes,"""ciao, see you, bye, cheerio""",None,"""bye? That’s an interesting topic! Let's discuss.""","""Does it remind you of anything?""",supportive,0.69,Yes
1213,Humor,Humor,"""giggle, humor, haha, quirky""",None,"""haha, quirky can be so engaging! Do you like it as well?""","""How long has this been on your mind?""",optimistic,0.79,No
1214,Thoughts,Thoughts,"""fashion, gaming, art, design""",None,"""art? That’s an interesting topic! Let's discuss.""","""Can you elaborate on that?""",playful,0.89,Yes
1215,Feelings,Feelings,"""confident, anxious, joyful, hopeful""",None,"""What do you think about anxious, confident, joyful? It's been on my mind.""","""What else comes to mind?""",supportive,0.7,No
1216,Thoughts,Thoughts,"""environment, history, fashion, politics""",None,"""I'm curious about fashion. Care to share your experience?""","""Do you often feel this way?""",inquisitive,0.78,No
1217,Humor,Humor,"""silly, pun, joke, prank""",None,"""joke can be so engaging! Do you like it as well?""","""Would you like to continue discussing this?""",supportive,0.86,Yes
1218,Goodbyes,Goodbyes,"""cheerio, take care, peace, farewell""",None,"""Do you enjoy cheerio, farewell? I find it quite interesting.""","""Have you tried something similar before?""",excited,0.72,Yes
1219,Intro,Intro,"""yo, hiya, hello, ahoy""",None,"""I'm curious about ahoy. Care to share your experience?""","""Have you tried something similar before?""",funny,0.97,No
1220,Thoughts,Thoughts,"""philosophy, history, design, science""",None,"""history is something I like to explore. How about you?""","""What else comes to mind?""",optimistic,0.62,Yes
1221,ChitChat,ChitChat,"""hobby, travel, food, pet""",None,"""What do you think about hobby? It's been on my mind.""","""Do you want some advice?""",playful,0.58,No
1222,Goodbyes,Goodbyes,"""farewell, see you, cheerio, adieu""",None,"""adieu? That’s an interesting topic! Let's discuss.""","""Do you want some advice?""",thoughtful,0.5,Yes
1223,Goodbyes,Goodbyes,"""goodbye, take care, ciao, later""",None,"""later, take care? That’s an interesting topic! Let's discuss.""","""How long has this been on your mind?""",enthusiastic,0.68,No
1224,Humor,Humor,"""silly, pun, sarcastic, funny""",None,"""funny is something I like to explore. How about you?""","""Does it remind you of anything?""",excited,0.6,Yes
1225,Thoughts,Thoughts,"""literature, tech, languages, sports""",None,"""sports is something I like to explore. How about you?""","""Can you describe it more vividly?""",curious,0.72,Yes
1226,Goodbyes,Goodbyes,"""take care, later, catch you, night""",None,"""What do you think about night, take care, catch you? It's been on my mind.""","""How does that make you feel right now?""",motivated,0.62,No
1227,Humor,Humor,"""quirky, sarcastic, joke, giggle""",None,"""joke, sarcastic, quirky can be so engaging! Do you like it as well?""","""Does it remind you of anything?""",optimistic,0.86,No
1228,Intro,Intro,"""hola, yo, hi, sup""",None,"""I've been thinking a lot about yo. What are your thoughts?""","""What else comes to mind?""",funny,0.71,Yes
1229,Humor,Humor,"""giggle, funny, haha, sarcastic""",None,"""I feel haha, sarcastic is really intriguing. What’s your opinion?""","""Would you like some tips?""",excited,0.57,No
1230,Thoughts,Thoughts,"""literature, fashion, sports, space""",None,"""Recently, sports, literature caught my attention. Have you noticed that too?""","""Do you often feel this way?""",funny,0.81,No
1231,Humor,Humor,"""lol, prank, funny, silly""",None,"""funny, lol, prank always fascinates me. How do you feel about it?""","""Do you often feel this way?""",thoughtful,0.6,Yes
1232,Intro,Intro,"""what’s up, hey, hola, bonjour""",None,"""Recently, what’s up caught my attention. Have you noticed that too?""","""Is there a reason it makes you happy?""",witty,0.92,Yes
1233,Intro,Intro,"""what’s up, howdy, salutations, sup""",None,"""I'm curious about howdy, sup, salutations. Care to share your experience?""","""How long has this been on your mind?""",thoughtful,0.73,No
1234,Feelings,Feelings,"""grateful, bored, nervous, tired""",None,"""nervous, grateful, tired always fascinates me. How do you feel about it?""","""What’s the story behind it?""",witty,0.68,Yes
1235,Humor,Humor,"""quirky, memes, funny, prank""",None,"""I've been thinking a lot about funny, quirky. What are your thoughts?""","""What else comes to mind?""",motivated,0.9,No
1236,ChitChat,ChitChat,"""culture, pet, travel, gardening""",None,"""gardening, culture, travel always fascinates me. How do you feel about it?""","""What’s the story behind it?""",empathetic,0.98,Yes
1237,Intro,Intro,"""greetings, hola, howdy, hi""",None,"""howdy, greetings, hola always fascinates me. How do you feel about it?""","""How does that make you feel right now?""",optimistic,0.91,No
1238,Intro,Intro,"""yo, hiya, howdy, what’s up""",None,"""Do you enjoy yo? I find it quite interesting.""","""Does it remind you of anything?""",chill,0.89,No
1239,Feelings,Feelings,"""curious, bored, frustrated, nervous""",None,"""I've been thinking a lot about frustrated. What are your thoughts?""","""How long has this been on your mind?""",chill,0.77,No
1240,ChitChat,ChitChat,"""pet, gardening, books, nature""",None,"""pet, gardening, nature is something I like to explore. How about you?""","""Have you tried something similar before?""",funny,0.59,Yes
1241,ChitChat,ChitChat,"""technology, pets, games, travel""",None,"""I feel pets, travel is really intriguing. What’s your opinion?""","""Does it happen often?""",calm,0.94,Yes
1242,Feelings,Feelings,"""excited, relaxed, confident, bored""",None,"""Do you enjoy confident, bored, relaxed? I find it quite interesting.""","""Do you often feel this way?""",cheerful,0.82,Yes
1243,Feelings,Feelings,"""anxious, surprised, frustrated, jealous""",None,"""frustrated, surprised? That’s an interesting topic! Let's discuss.""","""Does it remind you of anything?""",excited,0.6,No
1244,Intro,Intro,"""salutations, yo, bonjour, ahoy""",None,"""bonjour? That’s an interesting topic! Let's discuss.""","""How long has this been on your mind?""",funny,0.6,Yes
1245,Thoughts,Thoughts,"""fashion, art, literature, innovation""",None,"""art, literature can be so engaging! Do you like it as well?""","""Do you often feel this way?""",inquisitive,0.7,No
1246,Thoughts,Thoughts,"""literature, tech, environment, gaming""",None,"""gaming can be so engaging! Do you like it as well?""","""Do you enjoy this a lot?""",thoughtful,0.97,No
1247,Intro,Intro,"""bonjour, hi, hiya, howdy""",None,"""Do you enjoy hi, hiya, bonjour? I find it quite interesting.""","""Is there a reason it makes you happy?""",cheerful,0.66,Yes
1248,Humor,Humor,"""quirky, silly, humor, lol""",None,"""I feel silly is really intriguing. What’s your opinion?""","""What else comes to mind?""",excited,0.85,Yes
1249,Feelings,Feelings,"""excited, happy, joyful, anxious""",None,"""excited, joyful always fascinates me. How do you feel about it?""","""Do you want some advice?""",friendly,0.9,Yes
1250,Humor,Humor,"""humor, lol, quirky, memes""",None,"""What do you think about quirky, humor, memes? It's been on my mind.""","""Do you want some advice?""",witty,1.0,Yes
1251,Goodbyes,Goodbyes,"""cheerio, later, night, take care""",None,"""I've been thinking a lot about later, cheerio, take care. What are your thoughts?""","""Would you like some tips?""",motivated,0.6,Yes
1252,Intro,Intro,"""hi, what’s up, ahoy, hola""",None,"""hola can be so engaging! Do you like it as well?""","""What else comes to mind?""",chill,0.61,No
1253,Thoughts,Thoughts,"""sports, art, cooking, innovation""",None,"""I'm curious about cooking, sports, innovation. Care to share your experience?""","""Do you enjoy this a lot?""",curious,0.84,Yes
1254,ChitChat,ChitChat,"""city, games, gardening, pets""",None,"""Recently, games, city, pets caught my attention. Have you noticed that too?""","""Do you enjoy this a lot?""",supportive,0.67,Yes
1255,Intro,Intro,"""bonjour, howdy, hello, what’s up""",None,"""what’s up, bonjour is something I like to explore. How about you?""","""Do you want some advice?""",optimistic,0.63,No
1256,Intro,Intro,"""hiya, hola, yo, bonjour""",None,"""hiya can be so engaging! Do you like it as well?""","""Would you like some tips?""",empathetic,0.71,No
1257,Intro,Intro,"""hey, hiya, hola, salutations""",None,"""Do you enjoy hey, hola? I find it quite interesting.""","""Does it happen often?""",friendly,0.86,Yes
1258,Intro,Intro,"""bonjour, yo, hiya, hi""",None,"""I'm curious about bonjour. Care to share your experience?""","""What’s the story behind it?""",relaxed,0.53,No
1259,Humor,Humor,"""haha, laugh, sarcastic, prank""",None,"""I feel laugh, prank is really intriguing. What’s your opinion?""","""Can you describe it more vividly?""",relaxed,0.7,No
1260,Humor,Humor,"""funny, quirky, lol, silly""",None,"""funny, lol, quirky can be so engaging! Do you like it as well?""","""Do you enjoy this a lot?""",thoughtful,0.83,Yes
1261,Humor,Humor,"""haha, humor, silly, giggle""",None,"""Recently, humor, giggle, silly caught my attention. Have you noticed that too?""","""What’s the story behind it?""",friendly,0.93,No
1262,Goodbyes,Goodbyes,"""later, peace, night, adieu""",None,"""Do you enjoy night? I find it quite interesting.""","""Do you often feel this way?""",relaxed,0.78,Yes
1263,ChitChat,ChitChat,"""books, shopping, beach, culture""",None,"""books, shopping is something I like to explore. How about you?""","""Would you like to continue discussing this?""",inquisitive,0.8,Yes
1264,Goodbyes,Goodbyes,"""bye, cheerio, later, take care""",None,"""I feel take care, bye, cheerio is really intriguing. What’s your opinion?""","""What else comes to mind?""",excited,0.56,Yes
1265,Thoughts,Thoughts,"""languages, environment, design, tech""",None,"""I've been thinking a lot about tech, design, environment. What are your thoughts?""","""What else comes to mind?""",chill,0.65,Yes
1266,Feelings,Feelings,"""angry, happy, joyful, nervous""",None,"""What do you think about angry? It's been on my mind.""","""Is there a reason it makes you happy?""",enthusiastic,0.81,No
1267,ChitChat,ChitChat,"""weather, technology, beach, drink""",None,"""beach, weather is something I like to explore. How about you?""","""Do you often feel this way?""",enthusiastic,0.58,Yes
1268,ChitChat,ChitChat,"""books, technology, food, shopping""",None,"""I'm curious about shopping, books, food. Care to share your experience?""","""Would you like to continue discussing this?""",optimistic,0.99,Yes
1269,Thoughts,Thoughts,"""languages, movies, science, cooking""",None,"""languages, cooking, science can be so engaging! Do you like it as well?""","""Would you like some tips?""",inquisitive,0.8,Yes
1270,ChitChat,ChitChat,"""pets, travel, games, food""",None,"""I'm curious about pets, games, food. Care to share your experience?""","""Does it happen often?""",calm,0.72,No
1271,Intro,Intro,"""salutations, what’s up, yo, hello""",None,"""I'm curious about salutations, hello, what’s up. Care to share your experience?""","""Have you tried something similar before?""",relaxed,0.55,No
1272,Intro,Intro,"""hola, hiya, hi, what’s up""",None,"""I've been thinking a lot about hiya. What are your thoughts?""","""Do you want some advice?""",relaxed,0.99,No
1273,Humor,Humor,"""humor, funny, haha, pun""",None,"""I've been thinking a lot about haha, humor, pun. What are your thoughts?""","""What’s the story behind it?""",sarcastic,0.84,No
1274,Humor,Humor,"""pun, quirky, lol, sarcastic""",None,"""I'm curious about pun. Care to share your experience?""","""Is there a reason it makes you happy?""",cheerful,0.8,No
1275,Thoughts,Thoughts,"""space, cooking, history, design""",None,"""I feel design is really intriguing. What’s your opinion?""","""How long has this been on your mind?""",thoughtful,0.68,Yes
1276,ChitChat,ChitChat,"""pets, fitness, movies, beach""",None,"""beach, fitness, pets can be so engaging! Do you like it as well?""","""Does it happen often?""",calm,0.73,No
1277,Humor,Humor,"""joke, funny, haha, pun""",None,"""haha, joke can be so engaging! Do you like it as well?""","""Is there a reason it makes you happy?""",witty,0.76,Yes
1278,Feelings,Feelings,"""anxious, grateful, surprised, tired""",None,"""tired, anxious, grateful is something I like to explore. How about you?""","""How long has this been on your mind?""",inquisitive,0.79,No
1279,Thoughts,Thoughts,"""fashion, philosophy, science, psychology""",None,"""What do you think about fashion? It's been on my mind.""","""Does it remind you of anything?""",enthusiastic,0.93,Yes
1280,Humor,Humor,"""sarcastic, humor, funny, giggle""",None,"""giggle? That’s an interesting topic! Let's discuss.""","""How does that make you feel right now?""",funny,0.68,No
1281,Feelings,Feelings,"""surprised, amused, jealous, hopeful""",None,"""Recently, jealous, hopeful, amused caught my attention. Have you noticed that too?""","""Is there a reason it makes you happy?""",supportive,0.7,No
1282,Humor,Humor,"""memes, giggle, prank, pun""",None,"""Recently, prank, giggle, pun caught my attention. Have you noticed that too?""","""Would you like some tips?""",chill,0.86,No
1283,Intro,Intro,"""greetings, hello, hey, what’s up""",None,"""hello, greetings, what’s up can be so engaging! Do you like it as well?""","""Would you like some tips?""",chill,0.55,Yes
1284,Feelings,Feelings,"""anxious, confident, happy, surprised""",None,"""What do you think about happy, surprised, confident? It's been on my mind.""","""Do you enjoy this a lot?""",chill,0.8,Yes
1285,Goodbyes,Goodbyes,"""later, bye, farewell, see you""",None,"""farewell? That’s an interesting topic! Let's discuss.""","""How does that make you feel right now?""",helpful,0.91,No
1286,Humor,Humor,"""joke, silly, haha, laugh""",None,"""Do you enjoy joke, haha? I find it quite interesting.""","""Can you elaborate on that?""",curious,0.7,Yes
1287,Thoughts,Thoughts,"""music, science, gaming, literature""",None,"""I feel literature is really intriguing. What’s your opinion?""","""Does it happen often?""",excited,0.81,No
1288,Goodbyes,Goodbyes,"""adieu, peace, take care, bye""",None,"""What do you think about bye, adieu? It's been on my mind.""","""Can you elaborate on that?""",excited,0.53,No
1289,ChitChat,ChitChat,"""fitness, movies, food, mountains""",None,"""I've been thinking a lot about food, mountains, movies. What are your thoughts?""","""Can you elaborate on that?""",funny,0.95,No
1290,ChitChat,ChitChat,"""drink, travel, games, hobby""",None,"""What do you think about drink, games, travel? It's been on my mind.""","""Do you want some advice?""",excited,0.68,Yes
1291,Goodbyes,Goodbyes,"""take care, cheerio, adieu, farewell""",None,"""I'm curious about cheerio, adieu, take care. Care to share your experience?""","""Do you enjoy this a lot?""",enthusiastic,0.6,Yes
1292,Thoughts,Thoughts,"""history, innovation, science, literature""",None,"""history, literature, innovation can be so engaging! Do you like it as well?""","""Does it happen often?""",thoughtful,0.51,Yes
1293,Goodbyes,Goodbyes,"""bye, peace, catch you, goodbye""",None,"""I've been thinking a lot about catch you. What are your thoughts?""","""Do you want some advice?""",enthusiastic,0.71,Yes
1294,ChitChat,ChitChat,"""nature, hobby, weather, beach""",None,"""beach, nature, hobby? That’s an interesting topic! Let's discuss.""","""Does it happen often?""",thoughtful,0.6,No
1295,Goodbyes,Goodbyes,"""adieu, see you, peace, bye""",None,"""adieu, see you can be so engaging! Do you like it as well?""","""Does it happen often?""",playful,0.52,Yes
1296,ChitChat,ChitChat,"""travel, movies, food, fitness""",None,"""Recently, movies caught my attention. Have you noticed that too?""","""Does it remind you of anything?""",witty,0.9,No
1297,Goodbyes,Goodbyes,"""later, catch you, ciao, adieu""",None,"""I'm curious about later, adieu. Care to share your experience?""","""What’s the story behind it?""",excited,0.78,No
1298,Humor,Humor,"""joke, humor, funny, haha""",None,"""haha, joke is something I like to explore. How about you?""","""Is there a reason it makes you happy?""",enthusiastic,0.92,No
1299,Thoughts,Thoughts,"""tech, languages, art, history""",None,"""What do you think about art, tech, languages? It's been on my mind.""","""How long has this been on your mind?""",empathetic,0.61,No
1300,Thoughts,Thoughts,"""philosophy, psychology, space, tech""",None,"""I'm curious about psychology, space. Care to share your experience?""","""Would you like some tips?""",cheerful,0.77,No
1301,Feelings,Feelings,"""confident, angry, tired, frustrated""",None,"""Recently, frustrated, tired, confident caught my attention. Have you noticed that too?""","""Have you tried something similar before?""",optimistic,0.85,No
1302,Feelings,Feelings,"""nervous, grateful, bored, frustrated""",None,"""I've been thinking a lot about bored, frustrated. What are your thoughts?""","""Would you like to continue discussing this?""",chill,0.62,Yes
1303,Goodbyes,Goodbyes,"""see you, take care, bye, goodbye""",None,"""take care is something I like to explore. How about you?""","""Would you like some tips?""",optimistic,0.62,No
1304,Humor,Humor,"""haha, joke, lol, sarcastic""",None,"""I'm curious about joke, lol. Care to share your experience?""","""What’s the story behind it?""",motivated,0.52,Yes
1305,Humor,Humor,"""pun, funny, haha, laugh""",None,"""I feel haha, pun, laugh is really intriguing. What’s your opinion?""","""How long has this been on your mind?""",empathetic,0.63,Yes
1306,Humor,Humor,"""laugh, funny, silly, joke""",None,"""I feel funny is really intriguing. What’s your opinion?""","""Have you tried something similar before?""",inquisitive,0.58,Yes
1307,Goodbyes,Goodbyes,"""bye, adieu, later, ciao""",None,"""What do you think about bye, adieu, later? It's been on my mind.""","""How long has this been on your mind?""",relaxed,0.73,Yes
1308,ChitChat,ChitChat,"""festival, nature, fitness, food""",None,"""fitness can be so engaging! Do you like it as well?""","""Do you often feel this way?""",witty,0.89,No
1309,Humor,Humor,"""prank, quirky, lol, haha""",None,"""Do you enjoy prank, haha? I find it quite interesting.""","""Have you tried something similar before?""",chill,0.97,No
1310,ChitChat,ChitChat,"""fitness, pet, shopping, gardening""",None,"""I've been thinking a lot about fitness, shopping, pet. What are your thoughts?""","""Would you like some tips?""",supportive,0.89,No
1311,Intro,Intro,"""salutations, yo, bonjour, hi""",None,"""hi, salutations can be so engaging! Do you like it as well?""","""Do you want some advice?""",empathetic,0.55,Yes
1312,Thoughts,Thoughts,"""tech, gaming, music, art""",None,"""I'm curious about music, gaming. Care to share your experience?""","""Would you like to continue discussing this?""",playful,0.69,Yes
1313,Feelings,Feelings,"""tired, excited, curious, joyful""",None,"""tired can be so engaging! Do you like it as well?""","""Can you elaborate on that?""",playful,0.98,Yes
1314,Goodbyes,Goodbyes,"""see you, adieu, ciao, night""",None,"""Recently, adieu, night, see you caught my attention. Have you noticed that too?""","""How does that make you feel right now?""",relaxed,0.94,No
1315,Thoughts,Thoughts,"""literature, science, movies, space""",None,"""science, literature is something I like to explore. How about you?""","""Can you elaborate on that?""",witty,0.56,No
1316,ChitChat,ChitChat,"""technology, hobby, shopping, movies""",None,"""Recently, movies, hobby caught my attention. Have you noticed that too?""","""Have you tried something similar before?""",sarcastic,0.9,No
1317,Intro,Intro,"""what’s up, hey, greetings, hiya""",None,"""What do you think about hiya, hey? It's been on my mind.""","""Do you enjoy this a lot?""",sarcastic,0.72,No
1318,Intro,Intro,"""salutations, sup, hi, hello""",None,"""hi, salutations always fascinates me. How do you feel about it?""","""What else comes to mind?""",optimistic,0.69,No
1319,Humor,Humor,"""laugh, pun, humor, silly""",None,"""pun, humor always fascinates me. How do you feel about it?""","""How long has this been on your mind?""",inquisitive,0.89,No
1320,ChitChat,ChitChat,"""drink, festival, movies, coffee""",None,"""I've been thinking a lot about festival, movies. What are your thoughts?""","""Would you like some tips?""",calm,0.65,Yes
1321,Humor,Humor,"""lol, haha, humor, giggle""",None,"""humor? That’s an interesting topic! Let's discuss.""","""Is there a reason it makes you happy?""",cheerful,0.74,No
1322,Intro,Intro,"""what’s up, hiya, salutations, yo""",None,"""I've been thinking a lot about salutations, what’s up. What are your thoughts?""","""Would you like some tips?""",enthusiastic,0.6,Yes
1323,Humor,Humor,"""haha, lol, funny, pun""",None,"""pun, haha, lol always fascinates me. How do you feel about it?""","""Would you like some tips?""",playful,0.77,Yes
1324,Thoughts,Thoughts,"""fashion, art, innovation, cooking""",None,"""innovation, fashion, art always fascinates me. How do you feel about it?""","""Does it happen often?""",chill,0.99,No
1325,Intro,Intro,"""hola, hey, what’s up, greetings""",None,"""I feel what’s up is really intriguing. What’s your opinion?""","""What’s the story behind it?""",sarcastic,0.66,No
1326,Intro,Intro,"""hey, hi, sup, bonjour""",None,"""I feel hi is really intriguing. What’s your opinion?""","""Does it happen often?""",helpful,0.71,Yes
1327,Goodbyes,Goodbyes,"""take care, adieu, bye, later""",None,"""What do you think about take care? It's been on my mind.""","""Can you elaborate on that?""",thoughtful,0.86,Yes
1328,Humor,Humor,"""joke, sarcastic, funny, laugh""",None,"""I'm curious about joke. Care to share your experience?""","""What else comes to mind?""",thoughtful,0.89,No
1329,Humor,Humor,"""giggle, pun, funny, haha""",None,"""I'm curious about funny, pun, haha. Care to share your experience?""","""Have you tried something similar before?""",inquisitive,0.79,No
1330,ChitChat,ChitChat,"""technology, travel, games, movies""",None,"""movies, games, technology is something I like to explore. How about you?""","""Do you want some advice?""",playful,0.97,No
1331,Intro,Intro,"""howdy, hi, salutations, sup""",None,"""sup, salutations? That’s an interesting topic! Let's discuss.""","""Have you tried something similar before?""",chill,0.84,Yes
1332,Intro,Intro,"""greetings, hiya, sup, hey""",None,"""What do you think about greetings, hiya, hey? It's been on my mind.""","""Does it remind you of anything?""",sarcastic,0.76,Yes
1333,Feelings,Feelings,"""sad, relaxed, jealous, angry""",None,"""What do you think about relaxed, angry? It's been on my mind.""","""Does it remind you of anything?""",optimistic,0.61,Yes
1334,Humor,Humor,"""humor, quirky, memes, silly""",None,"""memes, quirky, humor is something I like to explore. How about you?""","""How does that make you feel right now?""",optimistic,0.51,No
1335,Intro,Intro,"""hello, what’s up, sup, bonjour""",None,"""I feel sup, what’s up, bonjour is really intriguing. What’s your opinion?""","""Would you like some tips?""",motivated,0.55,Yes
1336,Feelings,Feelings,"""grateful, jealous, curious, frustrated""",None,"""Recently, curious, grateful, jealous caught my attention. Have you noticed that too?""","""Would you like to continue discussing this?""",sarcastic,0.7,No
1337,Humor,Humor,"""giggle, joke, laugh, pun""",None,"""joke, laugh, pun can be so engaging! Do you like it as well?""","""Would you like to continue discussing this?""",witty,0.62,No
1338,Humor,Humor,"""funny, memes, giggle, prank""",None,"""Recently, prank, giggle caught my attention. Have you noticed that too?""","""Do you often feel this way?""",excited,0.63,No
1339,Feelings,Feelings,"""stressed, joyful, amused, grateful""",None,"""joyful? That’s an interesting topic! Let's discuss.""","""Do you often feel this way?""",funny,0.91,No
1340,Thoughts,Thoughts,"""science, psychology, innovation, politics""",None,"""innovation, science? That’s an interesting topic! Let's discuss.""","""Is there a reason it makes you happy?""",excited,0.92,Yes
