ID,Category,Subcategory,Keywords,Context,Response,FollowUp,Emotion,ScoreWeight,CombineFlag
664,Joke,Joke,"""joke, giggle, haha, pun""",None,"""Want a laugh? Why did the math book look sad? Because it had too many problems!""","""Do you want some advice?""",thoughtful,0.52,No
665,Mood,Mood,"""bored, excited, confident, anxious""",None,"""Feeling confident is awesome! What’s giving you that boost?""","""Do you enjoy this often?""",helpful,0.84,Yes
666,Greeting,Greeting,"""hiya, hello, greetings, hi""",None,"""Hi there! How are you?""","""Do you usually do this?""",curious,0.89,No
667,Joke,Joke,"""giggle, lol, laugh, funny""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""What’s been happening lately?""",empathetic,0.62,No
668,Small Talk,Small Talk,"""movies, games, hobby, drink""",None,"""Nature is so calming. Do you enjoy hiking?""","""Do you enjoy this often?""",thoughtful,0.83,No
669,Mood,Mood,"""confident, bored, stressed, anxious""",None,"""I’m glad to hear that! What’s making you happy today?""","""How long have you felt this way?""",playful,0.79,Yes
670,Small Talk,Small Talk,"""travel, drink, coffee, hobby""",None,"""Pets are great! Do you have any?""","""Do you want to tell me more?""",enthusiastic,0.6,Yes
671,Small Talk,Small Talk,"""pet, drink, coffee, food""",None,"""Nature is so calming. Do you enjoy hiking?""","""Did that make you laugh?""",empathetic,0.64,No
672,Mood,Mood,"""excited, confident, frustrated, sad""",None,"""Oh no, I’m sorry you feel that way. Do you want to talk about it?""","""What’s been happening lately?""",empathetic,0.56,Yes
673,Mood,Mood,"""joyful, frustrated, excited, stressed""",None,"""Feeling confident is awesome! What’s giving you that boost?""","""Do you enjoy this often?""",excited,0.73,Yes
674,Mood,Mood,"""joyful, confident, excited, happy""",None,"""Feeling confident is awesome! What’s giving you that boost?""","""What else do you think about it?""",calm,0.74,No
675,Greeting,Greeting,"""howdy, hiya, hey, yo""",None,"""Hi there! How are you?""","""What’s been happening lately?""",thoughtful,0.57,Yes
676,Small Talk,Small Talk,"""hobby, movies, drink, pet""",None,"""Traveling is fun! Where is your dream destination?""","""What’s been happening lately?""",playful,0.88,Yes
677,Joke,Joke,"""pun, humor, joke, laugh""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""What’s been happening lately?""",friendly,0.76,No
678,Opinion,Opinion,"""fashion, books, history, science""",None,"""Sports are exciting! Do you play any?""","""Can you explain a bit more?""",friendly,0.51,Yes
679,Joke,Joke,"""humor, joke, haha, lol""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""What else do you think about it?""",thoughtful,0.77,No
680,Greeting,Greeting,"""hello, hey, yo, hi""",None,"""Hello! What’s up?""","""Do you want to tell me more?""",cheerful,0.54,No
681,Mood,Mood,"""frustrated, happy, joyful, anxious""",None,"""Oh no, I’m sorry you feel that way. Do you want to talk about it?""","""How long have you felt this way?""",helpful,0.74,No
682,Opinion,Opinion,"""music, sports, science, tech""",None,"""History is rich. Any era you love?""","""Do you enjoy this often?""",calm,0.62,No
683,Small Talk,Small Talk,"""nature, coffee, weather, pet""",None,"""Nature is so calming. Do you enjoy hiking?""","""Do you usually do this?""",friendly,0.66,No
684,Farewell,Farewell,"""later, catch you, see you, goodbye""",None,"""Good night! Sleep well.""","""Did that make you laugh?""",helpful,0.57,No
685,Farewell,Farewell,"""catch you, bye, later, goodbye""",None,"""Bye! It was nice talking with you.""","""Did that make you laugh?""",excited,0.71,Yes
686,Opinion,Opinion,"""art, movies, music, tech""",None,"""History is rich. Any era you love?""","""Do you often feel this way?""",friendly,0.84,Yes
687,Mood,Mood,"""bored, frustrated, excited, tired""",None,"""That’s exciting! Can you tell me more?""","""Do you want to tell me more?""",friendly,0.76,Yes
688,Joke,Joke,"""haha, laugh, humor, giggle""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""What else do you think about it?""",friendly,0.72,Yes
689,Small Talk,Small Talk,"""nature, hobby, movies, coffee""",None,"""Traveling is fun! Where is your dream destination?""","""Do you usually do this?""",empathetic,0.5,No
690,Joke,Joke,"""joke, haha, lol, pun""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""How long have you felt this way?""",curious,0.65,No
691,Joke,Joke,"""joke, laugh, humor, funny""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Do you enjoy this often?""",curious,0.92,No
692,Joke,Joke,"""funny, lol, joke, pun""",None,"""Want a laugh? Why did the math book look sad? Because it had too many problems!""","""Do you enjoy this often?""",helpful,0.72,Yes
693,Farewell,Farewell,"""night, bye, later, catch you""",None,"""Good night! Sleep well.""","""What’s been happening lately?""",thoughtful,0.95,No
694,Opinion,Opinion,"""art, books, sports, music""",None,"""Sports are exciting! Do you play any?""","""Do you want some advice?""",calm,0.8,No
695,Greeting,Greeting,"""hiya, sup, hey, howdy""",None,"""Hey! How’s it going?""","""What’s been happening lately?""",helpful,0.83,Yes
696,Joke,Joke,"""funny, laugh, pun, joke""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""Do you want to tell me more?""",empathetic,0.92,Yes
697,Greeting,Greeting,"""hi, yo, greetings, hello""",None,"""Howdy! Nice to see you!""","""Do you enjoy this often?""",curious,0.66,No
698,Small Talk,Small Talk,"""pet, hobby, travel, coffee""",None,"""Coffee talk is my favorite! How do you take yours?""","""What’s been happening lately?""",helpful,0.53,Yes
699,Mood,Mood,"""stressed, joyful, sad, bored""",None,"""Oh no, I’m sorry you feel that way. Do you want to talk about it?""","""Do you often feel this way?""",calm,0.63,No
700,Mood,Mood,"""tired, happy, frustrated, confident""",None,"""That’s exciting! Can you tell me more?""","""What else do you think about it?""",empathetic,0.67,Yes
701,Opinion,Opinion,"""tech, music, art, sports""",None,"""Technology is fascinating! What’s your favorite gadget?""","""Did that make you laugh?""",empathetic,0.54,Yes
702,Opinion,Opinion,"""books, history, fashion, sports""",None,"""Sports are exciting! Do you play any?""","""Do you enjoy this often?""",excited,0.6,No
703,Opinion,Opinion,"""history, science, movies, art""",None,"""Sports are exciting! Do you play any?""","""What else do you think about it?""",empathetic,0.87,Yes
704,Small Talk,Small Talk,"""games, nature, coffee, weather""",None,"""Games are fun! What’s your favorite game to play?""","""Do you want some advice?""",cheerful,0.91,Yes
705,Small Talk,Small Talk,"""coffee, drink, hobby, pet""",None,"""Games are fun! What’s your favorite game to play?""","""How long have you felt this way?""",empathetic,0.7,Yes
706,Small Talk,Small Talk,"""nature, games, food, coffee""",None,"""Coffee talk is my favorite! How do you take yours?""","""Do you usually do this?""",friendly,0.72,No
707,Greeting,Greeting,"""hey, yo, greetings, sup""",None,"""Hey! How’s it going?""","""Can you explain a bit more?""",thoughtful,0.91,No
708,Farewell,Farewell,"""night, goodbye, later, bye""",None,"""See you later! Stay safe!""","""Do you want to tell me more?""",cheerful,0.98,Yes
709,Farewell,Farewell,"""goodbye, later, night, bye""",None,"""Good night! Sleep well.""","""Did that make you laugh?""",thoughtful,0.64,No
710,Greeting,Greeting,"""yo, howdy, hiya, hey""",None,"""Yo! What’s good?""","""What else do you think about it?""",excited,0.99,Yes
711,Joke,Joke,"""haha, humor, pun, laugh""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""Do you enjoy this often?""",thoughtful,0.76,No
712,Farewell,Farewell,"""see you, night, goodbye, later""",None,"""Catch you next time!""","""What’s been happening lately?""",friendly,0.76,No
713,Small Talk,Small Talk,"""movies, weather, pet, nature""",None,"""Games are fun! What’s your favorite game to play?""","""Do you want to tell me more?""",playful,0.68,No
714,Small Talk,Small Talk,"""travel, drink, coffee, weather""",None,"""Games are fun! What’s your favorite game to play?""","""What else do you think about it?""",curious,0.72,Yes
715,Mood,Mood,"""sad, confident, anxious, excited""",None,"""I’m glad to hear that! What’s making you happy today?""","""Do you want to tell me more?""",cheerful,0.94,Yes
716,Farewell,Farewell,"""night, bye, see you, catch you""",None,"""Good night! Sleep well.""","""What’s been happening lately?""",playful,0.56,Yes
717,Opinion,Opinion,"""science, music, sports, movies""",None,"""Technology is fascinating! What’s your favorite gadget?""","""Do you want some advice?""",excited,0.75,Yes
718,Mood,Mood,"""sad, anxious, frustrated, excited""",None,"""That’s exciting! Can you tell me more?""","""Do you enjoy this often?""",excited,0.6,Yes
719,Greeting,Greeting,"""yo, greetings, sup, howdy""",None,"""Hey! How’s it going?""","""What’s been happening lately?""",cheerful,0.88,No
720,Opinion,Opinion,"""science, music, tech, fashion""",None,"""Fashion trends are cool. Do you follow any?""","""What’s been happening lately?""",excited,0.6,No
721,Joke,Joke,"""funny, lol, humor, laugh""",None,"""Want a laugh? Why did the math book look sad? Because it had too many problems!""","""Can you explain a bit more?""",playful,0.56,No
722,Small Talk,Small Talk,"""coffee, hobby, drink, nature""",None,"""Traveling is fun! Where is your dream destination?""","""What’s been happening lately?""",empathetic,0.86,Yes
723,Opinion,Opinion,"""music, history, art, books""",None,"""Movies are fun! What’s the last film you watched?""","""Do you want some advice?""",enthusiastic,0.77,Yes
724,Small Talk,Small Talk,"""pet, drink, coffee, hobby""",None,"""Traveling is fun! Where is your dream destination?""","""What else do you think about it?""",empathetic,0.59,No
725,Opinion,Opinion,"""sports, movies, science, tech""",None,"""Movies are fun! What’s the last film you watched?""","""Do you want to tell me more?""",excited,0.95,Yes
726,Mood,Mood,"""confident, sad, happy, frustrated""",None,"""Oh no, I’m sorry you feel that way. Do you want to talk about it?""","""Do you enjoy this often?""",thoughtful,0.89,Yes
727,Joke,Joke,"""pun, giggle, laugh, lol""",None,"""Want a laugh? Why did the math book look sad? Because it had too many problems!""","""What else do you think about it?""",cheerful,0.98,Yes
728,Small Talk,Small Talk,"""movies, coffee, hobby, pet""",None,"""I love talking about food! What’s your favorite meal?""","""What else do you think about it?""",empathetic,0.95,Yes
729,Small Talk,Small Talk,"""coffee, nature, travel, weather""",None,"""Hobbies keep life interesting! What’s your favorite hobby?""","""Do you usually do this?""",helpful,0.52,Yes
730,Small Talk,Small Talk,"""drink, nature, pet, movies""",None,"""Games are fun! What’s your favorite game to play?""","""Did that make you laugh?""",friendly,0.5,Yes
731,Opinion,Opinion,"""tech, history, fashion, art""",None,"""Movies are fun! What’s the last film you watched?""","""Do you enjoy this often?""",calm,0.79,Yes
732,Mood,Mood,"""excited, anxious, joyful, happy""",None,"""I’m glad to hear that! What’s making you happy today?""","""Can you explain a bit more?""",thoughtful,0.76,Yes
733,Opinion,Opinion,"""science, movies, fashion, books""",None,"""Fashion trends are cool. Do you follow any?""","""Do you want to tell me more?""",playful,0.77,Yes
734,Farewell,Farewell,"""catch you, bye, see you, later""",None,"""See you later! Stay safe!""","""What’s been happening lately?""",helpful,0.92,No
735,Opinion,Opinion,"""history, fashion, art, tech""",None,"""Art can be inspiring. Do you create art?""","""Do you often feel this way?""",excited,0.58,No
736,Small Talk,Small Talk,"""nature, food, weather, travel""",None,"""Coffee talk is my favorite! How do you take yours?""","""Do you usually do this?""",playful,0.7,Yes
737,Farewell,Farewell,"""later, night, bye, see you""",None,"""Bye! It was nice talking with you.""","""Do you want some advice?""",calm,0.95,Yes
738,Opinion,Opinion,"""music, history, art, books""",None,"""Technology is fascinating! What’s your favorite gadget?""","""How long have you felt this way?""",enthusiastic,0.73,Yes
739,Farewell,Farewell,"""later, night, goodbye, see you""",None,"""Catch you next time!""","""Did that make you laugh?""",curious,0.62,No
740,Joke,Joke,"""lol, humor, laugh, joke""",None,"""Want a laugh? Why did the math book look sad? Because it had too many problems!""","""What’s been happening lately?""",curious,0.75,No
741,Mood,Mood,"""happy, excited, anxious, confident""",None,"""Being stressed happens to everyone. Want to vent?""","""Did that make you laugh?""",calm,0.99,No
742,Small Talk,Small Talk,"""food, coffee, movies, drink""",None,"""Coffee talk is my favorite! How do you take yours?""","""Do you usually do this?""",enthusiastic,0.53,Yes
743,Farewell,Farewell,"""goodbye, night, later, catch you""",None,"""Bye! It was nice talking with you.""","""What else do you think about it?""",calm,0.88,No
744,Opinion,Opinion,"""tech, science, music, movies""",None,"""History is rich. Any era you love?""","""Do you want some advice?""",empathetic,0.61,No
745,Joke,Joke,"""joke, haha, lol, pun""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""Do you want some advice?""",empathetic,0.84,No
746,Opinion,Opinion,"""history, music, fashion, tech""",None,"""History is rich. Any era you love?""","""How long have you felt this way?""",friendly,0.65,Yes
747,Opinion,Opinion,"""movies, books, sports, music""",None,"""Technology is fascinating! What’s your favorite gadget?""","""Did that make you laugh?""",cheerful,0.69,Yes
748,Greeting,Greeting,"""hiya, hey, hi, greetings""",None,"""Hello! What’s up?""","""How long have you felt this way?""",thoughtful,0.78,Yes
749,Greeting,Greeting,"""hi, sup, yo, howdy""",None,"""Hello! What’s up?""","""Do you usually do this?""",enthusiastic,0.54,Yes
750,Small Talk,Small Talk,"""games, nature, drink, hobby""",None,"""Hobbies keep life interesting! What’s your favorite hobby?""","""Did that make you laugh?""",empathetic,0.62,Yes
751,Farewell,Farewell,"""catch you, goodbye, see you, bye""",None,"""See you later! Stay safe!""","""Did that make you laugh?""",helpful,0.94,Yes
752,Joke,Joke,"""joke, haha, humor, laugh""",None,"""Want a laugh? Why did the math book look sad? Because it had too many problems!""","""Do you enjoy this often?""",excited,0.88,No
753,Small Talk,Small Talk,"""food, pet, weather, drink""",None,"""Hobbies keep life interesting! What’s your favorite hobby?""","""How long have you felt this way?""",friendly,0.8,No
754,Opinion,Opinion,"""movies, science, history, fashion""",None,"""History is rich. Any era you love?""","""Can you explain a bit more?""",enthusiastic,0.82,Yes
755,Farewell,Farewell,"""bye, later, goodbye, night""",None,"""Bye! It was nice talking with you.""","""Can you explain a bit more?""",helpful,0.82,No
756,Greeting,Greeting,"""greetings, sup, hi, yo""",None,"""Howdy! Nice to see you!""","""Do you want to tell me more?""",playful,0.7,No
757,Joke,Joke,"""joke, funny, laugh, lol""",None,"""Want a laugh? Why did the math book look sad? Because it had too many problems!""","""How long have you felt this way?""",thoughtful,0.69,No
758,Opinion,Opinion,"""fashion, books, history, music""",None,"""Science is incredible! Any recent discovery you liked?""","""How long have you felt this way?""",thoughtful,0.57,Yes
759,Greeting,Greeting,"""sup, hello, howdy, hey""",None,"""Hi there! How are you?""","""Do you want some advice?""",cheerful,0.91,Yes
760,Small Talk,Small Talk,"""drink, hobby, travel, pet""",None,"""Games are fun! What’s your favorite game to play?""","""What else do you think about it?""",friendly,0.66,Yes
761,Farewell,Farewell,"""bye, later, catch you, night""",None,"""Catch you next time!""","""Do you want some advice?""",excited,0.86,Yes
762,Farewell,Farewell,"""catch you, later, goodbye, night""",None,"""Catch you next time!""","""Do you want some advice?""",enthusiastic,0.84,No
763,Farewell,Farewell,"""goodbye, bye, night, catch you""",None,"""Catch you next time!""","""Did that make you laugh?""",calm,0.71,No
764,Joke,Joke,"""pun, laugh, giggle, joke""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""What’s been happening lately?""",cheerful,0.88,Yes
765,Mood,Mood,"""frustrated, joyful, confident, anxious""",None,"""I’m glad to hear that! What’s making you happy today?""","""Can you explain a bit more?""",calm,0.98,Yes
766,Mood,Mood,"""bored, excited, stressed, anxious""",None,"""Being stressed happens to everyone. Want to vent?""","""Do you usually do this?""",empathetic,0.84,No
767,Small Talk,Small Talk,"""games, nature, drink, pet""",None,"""I love talking about food! What’s your favorite meal?""","""Do you often feel this way?""",thoughtful,0.83,No
768,Joke,Joke,"""haha, humor, lol, pun""",None,"""Want a laugh? Why did the math book look sad? Because it had too many problems!""","""Do you enjoy this often?""",thoughtful,0.74,Yes
769,Opinion,Opinion,"""science, tech, movies, history""",None,"""Fashion trends are cool. Do you follow any?""","""How long have you felt this way?""",friendly,0.7,Yes
770,Mood,Mood,"""excited, tired, bored, confident""",None,"""Feeling tired is normal. Have you had a chance to rest?""","""Do you enjoy this often?""",excited,0.62,Yes
771,Mood,Mood,"""confident, happy, sad, joyful""",None,"""Being stressed happens to everyone. Want to vent?""","""Do you usually do this?""",empathetic,0.51,Yes
772,Mood,Mood,"""tired, stressed, sad, frustrated""",None,"""I’m glad to hear that! What’s making you happy today?""","""Do you enjoy this often?""",cheerful,0.73,Yes
773,Mood,Mood,"""happy, excited, joyful, frustrated""",None,"""Feeling confident is awesome! What’s giving you that boost?""","""Did that make you laugh?""",enthusiastic,0.67,Yes
774,Mood,Mood,"""sad, frustrated, joyful, stressed""",None,"""Feeling tired is normal. Have you had a chance to rest?""","""Do you enjoy this often?""",enthusiastic,0.58,No
775,Farewell,Farewell,"""bye, see you, goodbye, later""",None,"""Good night! Sleep well.""","""Do you usually do this?""",excited,0.54,No
776,Greeting,Greeting,"""hey, hello, hi, hiya""",None,"""Hello! What’s up?""","""What’s been happening lately?""",curious,0.66,No
777,Small Talk,Small Talk,"""weather, games, food, coffee""",None,"""I love talking about food! What’s your favorite meal?""","""What else do you think about it?""",playful,0.63,No
778,Joke,Joke,"""joke, giggle, laugh, funny""",None,"""Want a laugh? Why did the math book look sad? Because it had too many problems!""","""Do you want to tell me more?""",empathetic,0.61,No
779,Small Talk,Small Talk,"""coffee, drink, weather, pet""",None,"""Games are fun! What’s your favorite game to play?""","""Do you want to tell me more?""",enthusiastic,0.99,Yes
780,Farewell,Farewell,"""later, see you, catch you, goodbye""",None,"""See you later! Stay safe!""","""How long have you felt this way?""",thoughtful,0.66,No
781,Greeting,Greeting,"""hiya, yo, greetings, hey""",None,"""Yo! What’s good?""","""Do you want to tell me more?""",calm,0.52,Yes
782,Opinion,Opinion,"""tech, sports, science, history""",None,"""History is rich. Any era you love?""","""Can you explain a bit more?""",curious,0.95,No
783,Opinion,Opinion,"""history, books, science, fashion""",None,"""Music is amazing! Who’s your favorite artist?""","""How long have you felt this way?""",cheerful,0.76,No
784,Opinion,Opinion,"""science, fashion, sports, history""",None,"""Fashion trends are cool. Do you follow any?""","""What else do you think about it?""",curious,0.6,Yes
785,Joke,Joke,"""giggle, lol, pun, haha""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Do you enjoy this often?""",empathetic,0.67,No
786,Mood,Mood,"""confident, tired, joyful, excited""",None,"""Being stressed happens to everyone. Want to vent?""","""Do you usually do this?""",cheerful,0.73,Yes
787,Mood,Mood,"""sad, tired, excited, joyful""",None,"""That’s exciting! Can you tell me more?""","""What’s been happening lately?""",thoughtful,0.79,No
788,Mood,Mood,"""frustrated, excited, tired, sad""",None,"""Feeling confident is awesome! What’s giving you that boost?""","""What else do you think about it?""",friendly,0.81,Yes
789,Opinion,Opinion,"""music, sports, books, art""",None,"""Technology is fascinating! What’s your favorite gadget?""","""What’s been happening lately?""",friendly,0.62,Yes
790,Small Talk,Small Talk,"""drink, movies, nature, travel""",None,"""Coffee talk is my favorite! How do you take yours?""","""What else do you think about it?""",enthusiastic,0.9,No
791,Joke,Joke,"""lol, funny, haha, giggle""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""Do you want to tell me more?""",excited,0.57,Yes
792,Farewell,Farewell,"""night, catch you, goodbye, bye""",None,"""See you later! Stay safe!""","""How long have you felt this way?""",cheerful,0.61,Yes
793,Small Talk,Small Talk,"""nature, weather, food, pet""",None,"""Traveling is fun! Where is your dream destination?""","""Do you want to tell me more?""",thoughtful,0.53,No
794,Mood,Mood,"""joyful, anxious, happy, frustrated""",None,"""Oh no, I’m sorry you feel that way. Do you want to talk about it?""","""Do you usually do this?""",excited,0.61,Yes
795,Greeting,Greeting,"""hiya, hello, hi, hey""",None,"""Hello! What’s up?""","""Do you want to tell me more?""",playful,0.68,No
796,Mood,Mood,"""joyful, sad, excited, bored""",None,"""Oh no, I’m sorry you feel that way. Do you want to talk about it?""","""Do you want some advice?""",empathetic,0.97,Yes
797,Opinion,Opinion,"""history, fashion, science, art""",None,"""Science is incredible! Any recent discovery you liked?""","""What’s been happening lately?""",calm,0.73,Yes
798,Mood,Mood,"""stressed, sad, excited, frustrated""",None,"""That’s exciting! Can you tell me more?""","""What’s been happening lately?""",excited,0.7,Yes
799,Greeting,Greeting,"""sup, greetings, howdy, yo""",None,"""Howdy! Nice to see you!""","""Do you often feel this way?""",helpful,0.96,No
800,Farewell,Farewell,"""night, later, goodbye, see you""",None,"""Good night! Sleep well.""","""What else do you think about it?""",thoughtful,0.86,Yes
801,Goodbyes,Goodbyes,"""see you, take care, goodbye, farewell""",None,"""Bye! It’s been great chatting!""","""Is there a reason it makes you happy?""",empathetic,0.76,Yes
802,Thoughts,Thoughts,"""history, gaming, fashion, tech""",None,"""Sports are thrilling! Do you follow any teams?""","""How long has this been on your mind?""",calm,0.97,No
803,ChitChat,ChitChat,"""fitness, games, culture, pet""",None,"""Pets are the best! Do you have any?""","""Would you like some tips?""",excited,0.84,No
804,Humor,Humor,"""laugh, lol, quirky, funny""",None,"""Humor time! Why did the scarecrow win an award? He was outstanding in his field!""","""Does it happen often?""",optimistic,0.6,No
805,Humor,Humor,"""lol, laugh, pun, quirky""",None,"""Here’s a pun: I used to be a banker but I lost interest.""","""Do you often feel this way?""",enthusiastic,0.89,No
806,Humor,Humor,"""lol, humor, giggle, memes""",None,"""Here’s a pun: I used to be a banker but I lost interest.""","""Does it happen often?""",cheerful,0.83,Yes
807,Humor,Humor,"""quirky, humor, laugh, joke""",None,"""Humor time! Why did the scarecrow win an award? He was outstanding in his field!""","""What’s the story behind it?""",optimistic,0.92,No
808,Humor,Humor,"""joke, laugh, giggle, quirky""",None,"""Here’s a pun: I used to be a banker but I lost interest.""","""Can you describe it more vividly?""",thoughtful,0.66,Yes
809,ChitChat,ChitChat,"""fitness, nature, hobby, shopping""",None,"""Shopping can be fun. Found anything cool recently?""","""Can you describe it more vividly?""",calm,0.83,No
810,Feelings,Feelings,"""nervous, sad, bored, happy""",None,"""Interesting! Can you tell me more?""","""How long has this been on your mind?""",excited,0.51,No
811,Feelings,Feelings,"""sad, anxious, tired, excited""",None,"""Thanks for sharing! Want to talk more about it?""","""How long has this been on your mind?""",friendly,0.74,No
812,Goodbyes,Goodbyes,"""night, bye, peace, goodbye""",None,"""Take care! Hope we talk soon!""","""Do you enjoy this a lot?""",excited,0.74,Yes
813,Intro,Intro,"""hiya, howdy, sup, hey""",None,"""Yo! What’s popping?""","""Is there a reason it makes you happy?""",excited,0.66,Yes
814,ChitChat,ChitChat,"""shopping, culture, drink, coffee""",None,"""Pets are the best! Do you have any?""","""Does it happen often?""",enthusiastic,0.65,Yes
815,Intro,Intro,"""what’s up, greetings, sup, hi""",None,"""Hi! How’s life treating you?""","""What’s the story behind it?""",supportive,0.8,Yes
816,Humor,Humor,"""humor, funny, giggle, quirky""",None,"""Here’s a pun: I used to be a banker but I lost interest.""","""Can you elaborate on that?""",excited,0.86,Yes
817,ChitChat,ChitChat,"""culture, nature, travel, food""",None,"""Traveling is fun! Any places you dream of visiting?""","""Can you elaborate on that?""",thoughtful,0.64,No
818,Feelings,Feelings,"""stressed, confident, tired, anxious""",None,"""Thanks for sharing! Want to talk more about it?""","""What’s the story behind it?""",optimistic,0.61,No
819,Humor,Humor,"""joke, quirky, haha, giggle""",None,"""Want a laugh? Why did the computer go to therapy? It had too many bytes!""","""What else comes to mind?""",helpful,0.95,Yes
820,Humor,Humor,"""giggle, lol, humor, joke""",None,"""Want a laugh? Why did the computer go to therapy? It had too many bytes!""","""Do you enjoy this a lot?""",empathetic,0.9,Yes
821,Feelings,Feelings,"""nervous, stressed, tired, curious""",None,"""Interesting! Can you tell me more?""","""Can you elaborate on that?""",optimistic,0.91,No
822,ChitChat,ChitChat,"""drink, weather, travel, shopping""",None,"""Coffee talk is always nice! How do you take yours?""","""Do you often feel this way?""",enthusiastic,0.92,Yes
823,Goodbyes,Goodbyes,"""later, take care, goodbye, farewell""",None,"""Good night! Rest well and recharge!""","""Do you enjoy this a lot?""",empathetic,0.81,Yes
824,Intro,Intro,"""yo, hello, hiya, greetings""",None,"""Hey there! How’s your day going?""","""Does it happen often?""",cheerful,0.67,No
825,Intro,Intro,"""howdy, hey, hola, hello""",None,"""Hey there! How’s your day going?""","""What’s the story behind it?""",friendly,0.85,Yes
826,Thoughts,Thoughts,"""science, philosophy, music, books""",None,"""Movies are epic! Seen anything interesting recently?""","""Can you elaborate on that?""",cheerful,0.68,Yes
827,Humor,Humor,"""pun, joke, lol, haha""",None,"""Want a laugh? Why did the computer go to therapy? It had too many bytes!""","""Is there a reason it makes you happy?""",helpful,0.79,Yes
828,Intro,Intro,"""hi, hey, what’s up, hello""",None,"""Hey there! How’s your day going?""","""Do you often feel this way?""",helpful,0.65,No
829,Thoughts,Thoughts,"""sports, fashion, philosophy, books""",None,"""Art is inspiring. Created or admired anything cool lately?""","""Does it happen often?""",playful,0.69,Yes
830,Feelings,Feelings,"""curious, confident, nervous, sad""",None,"""Thanks for sharing! Want to talk more about it?""","""Would you like some tips?""",calm,0.75,No
831,ChitChat,ChitChat,"""weather, hobby, shopping, pet""",None,"""Shopping can be fun. Found anything cool recently?""","""Can you elaborate on that?""",excited,0.56,No
832,Goodbyes,Goodbyes,"""take care, farewell, see you, bye""",None,"""Good night! Rest well and recharge!""","""Would you like some tips?""",empathetic,0.89,Yes
833,ChitChat,ChitChat,"""shopping, hobby, weather, drink""",None,"""Coffee talk is always nice! How do you take yours?""","""Is there a reason it makes you happy?""",helpful,0.71,Yes
834,Goodbyes,Goodbyes,"""see you, bye, farewell, peace""",None,"""Catch you later! Stay awesome!""","""Do you enjoy this a lot?""",friendly,0.99,No
835,Feelings,Feelings,"""joyful, confident, happy, anxious""",None,"""Interesting! Can you tell me more?""","""Does it happen often?""",empathetic,0.58,Yes
836,Intro,Intro,"""hello, hey, howdy, sup""",None,"""Hey there! How’s your day going?""","""Can you elaborate on that?""",friendly,0.79,No
837,Thoughts,Thoughts,"""art, sports, fashion, science""",None,"""Books can open new worlds! Read anything good lately?""","""Do you enjoy this a lot?""",supportive,0.69,Yes
838,Intro,Intro,"""greetings, hola, hi, hello""",None,"""Hello! What’s new with you?""","""Do you often feel this way?""",friendly,0.56,No
839,Humor,Humor,"""giggle, humor, haha, laugh""",None,"""Humor time! Why did the scarecrow win an award? He was outstanding in his field!""","""Can you describe it more vividly?""",optimistic,0.51,Yes
840,ChitChat,ChitChat,"""nature, coffee, hobby, games""",None,"""Shopping can be fun. Found anything cool recently?""","""Would you like some tips?""",thoughtful,0.68,No
841,Goodbyes,Goodbyes,"""goodbye, later, take care, night""",None,"""Catch you later! Stay awesome!""","""Can you describe it more vividly?""",curious,0.88,Yes
842,ChitChat,ChitChat,"""games, fitness, culture, nature""",None,"""Hobbies keep life fun. What’s your go-to activity?""","""Can you describe it more vividly?""",empathetic,0.93,Yes
843,Intro,Intro,"""hey, howdy, sup, hola""",None,"""Yo! What’s popping?""","""Can you describe it more vividly?""",calm,0.54,Yes
844,Humor,Humor,"""pun, lol, humor, giggle""",None,"""Want a laugh? Why did the computer go to therapy? It had too many bytes!""","""What’s the story behind it?""",excited,0.78,Yes
845,Goodbyes,Goodbyes,"""adieu, see you, catch you, peace""",None,"""Bye! It’s been great chatting!""","""How long has this been on your mind?""",cheerful,0.91,No
846,ChitChat,ChitChat,"""drink, coffee, nature, shopping""",None,"""Hobbies keep life fun. What’s your go-to activity?""","""Do you enjoy this a lot?""",cheerful,0.54,Yes
847,Feelings,Feelings,"""tired, excited, joyful, curious""",None,"""Interesting! Can you tell me more?""","""Do you often feel this way?""",empathetic,0.9,No
848,Feelings,Feelings,"""anxious, bored, happy, joyful""",None,"""Thanks for sharing! Want to talk more about it?""","""Do you often feel this way?""",playful,0.68,No
849,Intro,Intro,"""hiya, what’s up, hi, hey""",None,"""Yo! What’s popping?""","""Can you elaborate on that?""",optimistic,0.98,Yes
